k;N;
liczba powtórzeń;ilość liczb w pliku;
;;
StosTam dod 1;;
10;100;0
10;250;0.002
10;500;0.007
10;750;0.018
10;1000;0.038
10;2500;0.236
10;5000;1.051
10;7500;2.393
10;10000;4.492
10;15000;10.446
